RNN_type,learning_rate,latent_dim,epochs,dropout_rate,batch_size,val_loss,best_val_sparse_categorical_accuracy,best_val_sparse_top_k_categorical_accuracy,best_val_accuracy
GRU,0.01,128,45,0.2,1024,0.20075613260269165,0.9451218843460083,0.9929249882698059,0.9451218843460083
GRU,0.005,256,19,0.2,1024,0.20310042798519135,0.9447812438011169,0.9926593899726868,0.9447812438011169
GRU,0.01,128,48,0.3,1024,0.20455940067768097,0.9438156485557556,0.9927218556404114,0.9438156485557556
GRU,0.008,128,36,0.3,1024,0.20463833212852478,0.944253146648407,0.9925156235694885,0.944253146648407
GRU,0.002,128,45,0.3,1024,0.20517311990261078,0.9436343908309937,0.9924218654632568,0.9436343908309937
GRU,0.002,256,22,0.2,1024,0.2060278058052063,0.9447625279426575,0.9922500252723694,0.9447625279426575
GRU,0.008,256,16,0.2,1024,0.20683792233467102,0.9433968663215637,0.9925249814987183,0.9433968663215637
GRU,0.002,256,25,0.3,1024,0.20689645409584045,0.944571852684021,0.9922093749046326,0.944571852684021
GRU,0.002,128,29,0.2,1024,0.20735202729701996,0.9430249929428101,0.9923437237739563,0.9430249929428101
GRU,0.01,256,48,0.2,1024,0.2079157680273056,0.943331241607666,0.9925062656402588,0.943331241607666
GRU,0.005,128,32,0.3,1024,0.20840243995189667,0.9431687593460083,0.9923218488693237,0.9431687593460083
GRU,0.005,256,22,0.3,1024,0.21228432655334473,0.9429031014442444,0.9922500252723694,0.9429031014442444
GRU,0.005,128,25,0.2,1024,0.21340949833393097,0.9415093660354614,0.9920406341552734,0.9415093660354614
GRU,0.008,128,27,0.2,1024,0.21956804394721985,0.9394999742507935,0.9916124939918518,0.9394999742507935
GRU,0.008,256,16,0.3,1024,0.22665256261825562,0.9383062720298767,0.9913156032562256,0.9383062720298767
GRU,0.01,256,34,0.3,1024,0.2283625453710556,0.9373437762260437,0.9914844036102295,0.9373437762260437
